OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,Personal income: Employee income earners (no.) (Data year: 2020),Personal income: Employee income earners: Median age (years) (Data year: 2020),Personal income: Total employee income ($m) (Data year: 2020),Personal income: Median employee income ($) (Data year: 2020),Personal income: Mean employee income ($) (Data year: 2020),Personal income: Employee income as main source of income (%) (Data year: 2020),Personal income: Own unincorporated business income earners (no.) (Data year: 2020),Personal income: Own unincorporated business income earners: Median age (years) (Data year: 2020),Personal income: Total own unincorporated business income ($m) (Data year: 2020),Personal income: Median own unincorporated business income ($) (Data year: 2020),Personal income: Mean own unincorporated business income ($) (Data year: 2020),Personal income: Own unincorporated business income as main source of income (%) (Data year: 2020),Personal income: Investment income earners (no.) (Data year: 2020),Personal income: Investment income earners: Median age (years) (Data year: 2020),Personal income: Total investment income ($m) (Data year: 2020),Personal income: Median investment income ($) (Data year: 2020),Personal income: Mean investment income ($) (Data year: 2020),Personal income: Investment income as main source of income (%) (Data year: 2020),Personal income: Superannuation and annuity income earners (no.) (Data year: 2020),Personal income: Superannuation and annuity income earners: Median age (years) (Data year: 2020),Personal income: Total superannuation and annuity income ($m) (Data year: 2020),Personal income: Median superannuation and annuity income ($) (Data year: 2020),Personal income: Mean superannuation and annuity income ($) (Data year: 2020),Personal income: Superannuation and annuity income as main source of income (%) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances)(no.) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances): Median age (years) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances) ($m) (Data year: 2020),Personal income: Median total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Mean total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P20 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p20/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p10/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Gini coefficient (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 1% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 5% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 10% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Lowest Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Second Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Third Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Highest Quartile (%) (Data year: 2020),Persons who reported gross capital gains (no.) (Data year: 2022),Total value of gross capital gains ($m) (Data year: 2022),Median value of gross capital gains ($) (Data year: 2022),Mean value of gross capital gains ($) (Data year: 2022),Total personal income: Persons earning $1-$499 per week (%) (Data year: 2021),Total personal income: Persons earning $500-$999 per week (%) (Data year: 2021),Total personal income: Persons earning $1000-$1999 per week (%) (Data year: 2021),Total personal income: Persons earning $2000-$2999 per week (%) (Data year: 2021),Total personal income: Persons earning $3000 or more per week (%) (Data year: 2021),Total personal income: Persons earning nil income (%) (Data year: 2021),Total personal income: Persons with a negative income (%) (Data year: 2021),Total personal income: Income inadequately described/not stated (%) (Data year: 2021),Median equivalised total household income (weekly) ($) (Data year: 2021),Equivalised total household income: $1-$499 per week (%) (Data year: 2021),Equivalised total household income: $500-$999 per week (%) (Data year: 2021),Equivalised total household income: $1000-$1999 per week (%) (Data year: 2021),Equivalised total household income: $2000-$2999 per week (%) (Data year: 2021),Equivalised total household income: $3000 or more per week (%) (Data year: 2021),Equivalised total household income: Nil income (%) (Data year: 2021),Equivalised total household income: Partial income stated (%) (Data year: 2021),Equivalised total household income: All incomes not stated (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
925,210041539,Diggers Rest,51.8922,https://linked.data.gov.au/dataset/asgsed3/SA2/210041539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,7,1260,28989,16.2,22.1,37.7,7.4,1.8,8.1,0.8,5.7,1198,10.2,24.2,46.1,11.5,2,1.8,2.6,1.8,b6517c35-dc70-40b6-95b4-ffbe62d56267,0.00529560658969785,0.389701270218772
687,203021043,Lara,588.6012,https://linked.data.gov.au/dataset/asgsed3/SA2/203021043,10354,39,672.1,57865,64908,82.5,1227,44,23.5,9060,19187,5.3,7114,44,41.9,81,5886,10.5,263,59,7.6,20955,29077,1.3,11138,42,713.9,56249,64094,4.27,1.75,0.41,0.18,0.411,4.6,15.7,26.4,21.6,25.2,27.5,25.7,1018,42.3,2389,41571,21.5,21.3,27.1,7.4,3.2,7.3,0.7,11.5,1116,12.7,26.6,39.8,10.2,3.2,1.4,4.6,1.5,cf07b5c2-66f7-464c-84b0-f5845fc4ac50,0.060332766492138,1.79024364745548
902,209041530,Lalor - West,8.7363,https://linked.data.gov.au/dataset/asgsed3/SA2/209041530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,19.3,2093,42758,31.5,22.4,21.7,3.7,1.3,10.6,1.5,7.4,807,23,32.4,29.6,4.8,1.5,2.9,4,1.8,685a3fd8-84a1-4f3a-9bfa-6b68c66e6c13,0.000892132937224233,0.150861984304602
1042,213011332,Keilor Downs,7.6597,https://linked.data.gov.au/dataset/asgsed3/SA2/213011332,6695,39,396,53009,59155,80.2,909,43,16,12535,17571,6.7,4920,44,21.9,132,4448,11.5,144,59,3.2,14460,22139,1.1,7312,42,412.8,49390,56458,4.49,1.76,0.39,0.17,0.422,4.7,16.1,27,25.6,27.2,27.5,19.7,590,23.8,2293,40347,30.6,20.8,24.1,4.5,2.1,10.6,1.1,6.3,891,21.3,28.7,32.4,7.4,1.5,2.7,4.2,1.8,bfc0202d-f53c-46bd-b2ed-3d6ee10164f4,0.000782830337811902,0.174070409808138
879,209031209,Eltham,19.4882,https://linked.data.gov.au/dataset/asgsed3/SA2/209031209,13062,44,1017.5,62270,77896,74,2125,48,60.4,12413,28445,7.1,11548,49,128.1,317,11096,16.6,360,63,13.6,27524,37696,1.5,14950,47,1160,60025,77595,5.57,1.98,0.35,0.15,0.474,7.4,20.2,31.6,22.9,21.7,21.9,33.4,2314,103,2638,44529,19.7,19.4,27.5,11.1,8.9,9,0.5,4.1,1395,8.7,20.1,39.4,17.4,7.5,1.5,4.3,1.1,0ec47162-4c84-4598-b446-e9b697fb28bf,0.00199130794590019,0.264216397497296
710,204011061,Upper Yarra Valley,856.2714,https://linked.data.gov.au/dataset/asgsed3/SA2/204011061,93,45,4.4,44525,47281,81.6,16,52,0.2,14432,11224,10.7,50,48,0.2,81,3316,7.8,,,,,,,106,46,4.7,39982,44325,,,,,0.369,,11.5,20.9,34,26.2,34,5.8,,,,,31.6,21.6,20.5,,,5.3,2.6,19.5,616,32.6,28.3,22.8,5.4,,4.3,4.3,4.3,4081d009-676c-490c-81ae-e8f4c099222f,0.0874271581424182,1.69916084750047
1875,407021157,Tatiara,6527.2342,https://linked.data.gov.au/dataset/asgsed3/SA2/407021157,3646,38,168.9,44362,46317,68.5,1355,53,40,13803,29547,16.3,3116,48,30.5,313,9773,13.9,63,59,1.2,9943,19180,0.8,4456,44,235.3,47001,52796,4.33,1.68,0.39,0.13,0.476,6,19.4,30.3,26.2,30.7,27.5,15.6,508,28.1,3278,55223,21.5,29.1,27.5,3.5,2.7,4.5,1,10.2,955,16.8,29.8,34.2,5.4,2.9,1.5,6.3,2.7,84b10aa5-89f6-4c0d-9723-618735ffd7bf,0.654301868325092,3.75576287639357
1065,213041353,Bacchus Marsh,196.2983,https://linked.data.gov.au/dataset/asgsed3/SA2/213041353,12519,39,811.1,57774,64788,82.2,1399,42,30.1,11762,21505,5.5,8469,44,55.8,54,6584,10.4,281,58,9.5,22134,33896,1.3,13406,41,867.7,56505,64721,4.2,1.74,0.41,0.18,0.412,4.9,16.1,26.7,21.3,25.2,27.8,25.7,1080,161.8,2531,149792,22.8,23.5,28.5,7.8,3.3,8.1,0.8,5.4,1073,14.9,26.7,37.8,9.7,2.9,1.7,4.3,1.9,6f8171a1-05ad-42ef-aec9-6038e063e247,0.0200384546074019,1.06425156120532
856,208031189,Edithvale - Aspendale,5.1001,https://linked.data.gov.au/dataset/asgsed3/SA2/208031189,7517,42,561.6,63138,74713,77.9,1040,46,25.8,11780,24850,6.3,6111,46,58.7,192,9612,13.7,200,61,6.6,25228,32994,1.5,8283,44,624,61332,75334,4.82,1.84,0.38,0.16,0.451,7.5,19.3,30.2,21.3,21.7,24.7,32.3,1115,34.8,2219,31183,19.7,19.5,29.2,12.3,7.2,7.6,0.5,4,1358,11.1,20.2,39,16,7.1,1.7,3.5,1.4,59c5d68d-a50e-4606-b0fa-1d1aa597f265,0.000523366001743852,0.124604558593105
192,109031184,Moama,167.0068,https://linked.data.gov.au/dataset/asgsed3/SA2/109031184,3064,43,166.4,47533,54308,71.6,542,50,10.7,12766,19753,7.9,2486,49,29.6,257,11919,18.9,62,60,1.5,10473,24248,1.1,3580,47,201.3,47887,56216,5.31,1.83,0.34,0.11,0.465,6.1,18.3,29.5,27.7,26.6,25.8,20,477,45.3,11383,95035,28.8,24.9,24,5.4,2.6,5.4,0.8,8.1,870,19.7,31.1,30.3,6.3,2.3,1.6,6.1,2.5,3ebad613-7f0b-450d-a659-ecd4ccfa42d6,0.0167052949918798,0.964137101107178
733,205021083,Lake King,93.8744,https://linked.data.gov.au/dataset/asgsed3/SA2/205021083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eddc2cdc-0f3f-4443-b0a5-9ce3a99c863a,0.00961397351557025,0.941097964876678
1094,213051585,Tarneit - South,3.1301,https://linked.data.gov.au/dataset/asgsed3/SA2/213051585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,8.8,1704,23487,19.6,23.3,28.3,5.1,2,14,1.1,6.6,972,14.3,32.8,37.5,6,1.6,1.7,4.3,1.7,ff4ac7db-af92-4a02-abad-0414bb514ced,0.000320478023240867,0.0951328387845246
756,206011106,Brunswick East,2.1682,https://linked.data.gov.au/dataset/asgsed3/SA2/206011106,9102,33,647.4,62319,71124,85.7,1456,36,33.1,7659,22752,6.1,6702,35,33.6,122,5012,7,98,59,2.7,21447,27987,0.6,9078,34,669.7,63008,73766,4.19,1.73,0.41,0.21,0.416,5.2,17,27.8,19.1,22.4,26.3,32.2,1347,34,1190,25212,15.7,17.9,35.5,13.6,7.7,4.7,0.3,4.5,1569,9.5,15.4,39.3,20.2,10.2,1.2,3.7,0.7,8cd0dd78-400a-4b30-8a9b-1fb9946fb435,0.00022169843350639,0.0751703341672111
1117,215011386,Ararat,161.179,https://linked.data.gov.au/dataset/asgsed3/SA2/215011386,3876,41,205.6,47544,53041,80,496,51,9.5,6267,19216,5.7,2547,51,15.1,127,5938,12.8,97,55,2.4,14216,24435,1.2,4255,45,225.1,46330,52903,5.05,1.8,0.36,0.13,0.433,5.3,16.4,27.2,27.7,29.1,25.3,17.8,360,11.9,5236,33025,26,25.7,20.6,3.5,1.3,4.8,0.7,17.5,815,22.8,32.1,30,4.5,1.6,1.6,4.7,2.9,ba3006ed-ad4c-4fd3-af98-6acc258c4ae8,0.0163721329959117,0.705397354652958
779,206041127,West Melbourne - Industrial,6.1992,https://linked.data.gov.au/dataset/asgsed3/SA2/206041127,7,23,0.5,40916,64628,44.4,,,,,,,7,34,0.8,,110190,33.3,,,,,,,6,35,0.6,90927,107532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c5cefdb-d34c-4e0f-bec4-645583e34c7f,0.000634263302799809,0.116791983988393
1048,213011338,Sunshine West,12.9688,https://linked.data.gov.au/dataset/asgsed3/SA2/213011338,9283,36,482.6,47683,51992,82,1494,37,27.2,11931,18178,8.7,5662,38,15.3,47,2710,7.8,145,55,2.9,10000,20214,1,9828,37,499,45471,50775,4.26,1.7,0.4,0.19,0.408,4.5,15.5,26.1,27.8,29.9,28.1,14.2,659,23.8,1594,36097,30.3,22.7,21.6,3.7,1.2,11.7,1.2,7.6,812,24,30.7,28.8,5.5,1.6,2.8,4.6,2,70298a76-4b98-455f-b814-17cdc2ae3318,0.00132676394377995,0.213968684868331
802,206071140,Carlton North - Princes Hill,2.3042,https://linked.data.gov.au/dataset/asgsed3/SA2/206071140,5450,34,431.8,58092,79222,74.2,1071,42,51.5,11698,48112,7.6,4653,39,80.9,414,17380,16,134,67,5.1,25464,38290,1.2,5957,37,542.9,60975,91132,5.31,2,0.38,0.19,0.531,12.9,28.1,39.6,21.5,22.2,22.5,33.8,1093,81.9,2392,74911,16.6,19.1,31.1,11.9,12.1,4.6,0.2,4.3,1619,9.1,15.9,32.7,19.7,15.1,1.2,5.5,1,8f535a39-e5ef-42f0-8282-88b8c2f2d934,0.000235665958371101,0.0617979117532516
971,211051275,Chirnside Park,22.2024,https://linked.data.gov.au/dataset/asgsed3/SA2/211051275,6211,39,401.4,55833,64619,77.6,868,46,19.5,9431,22443,6,4973,46,45.9,123,9228,14.7,132,59,3.6,19868,27150,1,7087,43,454.3,53444,64104,4.77,1.85,0.39,0.17,0.438,5.7,17.5,28.7,23.6,25.4,26.1,25,755,32.3,2060,42758,22.9,21.9,29.2,8.4,4,8.4,0.5,4.5,1154,13.1,24.5,39.3,11.6,3.3,1.8,4.9,1.5,0b71b6e5-ecf0-4c68-bf46-976ed66e261c,0.00226948130921301,0.234326395345002
1071,213041463,Caroline Springs,6.9526,https://linked.data.gov.au/dataset/asgsed3/SA2/213041463,10852,40,711.2,58282,65538,84.1,1416,41,32.2,13157,22742,6.8,7342,42,36.6,39,4982,8,136,52,2.9,11696,21668,0.5,11503,41,753.3,56664,65490,4.18,1.74,0.42,0.21,0.411,5.4,16.6,27.1,21.1,24.9,28.1,25.9,913,35.2,2382,38595,21.3,20.1,28.4,7.8,3.6,12.2,0.9,5.6,1133,12.7,25.7,39.5,10.9,3.3,1.8,4.4,1.5,20fdcf02-f9cc-47f7-ba53-68ec1cb8556f,0.000710616393007513,0.125339659314409
825,207021424,Doncaster East - North,6.403,https://linked.data.gov.au/dataset/asgsed3/SA2/207021424,7763,42,528.7,52282,68111,67.3,1254,47,30.2,11827,24103,6.3,8173,49,84.1,670,10288,24.2,169,66,4.7,21478,27999,1.1,9913,47,618.6,45363,62405,6.78,2.15,0.32,0.1,0.521,7.9,22.1,34.5,30.9,24.7,20.2,24.2,1688,68.6,3230,40645,25.9,20.1,24.1,7.8,5.4,12.7,0.6,3.4,1090,15.3,24.9,35.2,11.5,4.6,3.1,4.4,1,8d76d841-3935-4af5-bd64-c2b7b9cbbade,0.000654788546853524,0.165091418380263
948,211011258,Rowville - South,9.3532,https://linked.data.gov.au/dataset/asgsed3/SA2/211011258,6324,42,419.4,56495,66321,80.7,795,48,20.2,13845,25389,6.2,5094,47,29.7,129,5829,11.8,114,59,2.8,14374,24435,0.8,6934,45,455.1,54292,65628,4.67,1.85,0.4,0.18,0.437,5.8,17.6,28.8,23.2,24.9,25.9,26,852,31.5,2558,36930,22.5,20.9,28.9,8.5,4.8,10.3,0.6,3.5,1231,10.8,23.2,40.5,13,4.1,1.7,5.1,1.3,e748b6fe-5357-4292-b9a7-1a5343059fad,0.000958589340825711,0.187384786790319
1002,212031303,Cranbourne South,81.662,https://linked.data.gov.au/dataset/asgsed3/SA2/212031303,7941,36,504.8,57557,63567,81.7,1329,39,30.3,14472,22781,8.1,5441,39,41.1,40,7561,8.9,126,55,3.9,21939,30937,0.9,8701,37,561.5,56952,64531,3.6,1.66,0.46,0.26,0.388,5.1,15.9,26.1,18.7,26.3,31.1,24,821,43.9,2659,53481,17.2,23.8,34.7,7.6,2.6,7.9,0.6,5.6,1215,8.3,24,47.5,10,2.2,1.4,4.6,1.9,292616a0-4d5e-460f-86a6-d6f8624753ce,0.00839346976681554,0.447344397018845
919,210031440,Hadfield,3.0502,https://linked.data.gov.au/dataset/asgsed3/SA2/210031440,2836,36,175,55701,61711,79.6,509,37,10.7,14119,20982,9.7,1934,40,8.5,93,4391,9,50,58,1.2,15270,24657,1,3104,38,187.1,52379,60276,4.39,1.78,0.4,0.21,0.408,4.4,15.4,26.2,23.3,26.6,27,23,269,8.4,1389,31165,27.9,19.8,24.9,6.7,2.4,9.1,1.2,8,920,22.9,25,31.5,9.7,2.6,2.4,3.5,2.8,540c348b-7c2b-4f1f-b1bd-5151d4e15802,0.0003116783209407,0.0798236371245824
670,202011024,Strathfieldsaye,56.4142,https://linked.data.gov.au/dataset/asgsed3/SA2/202011024,5388,41,359.8,58652,66772,76.4,711,49,16.9,10385,23766,5.4,4535,46,51.6,239,11376,16.5,140,60,4.3,22732,30621,1.3,6183,44,421.8,57975,68216,4.99,1.8,0.36,0.14,0.44,5.9,17.7,28.5,23.2,22.3,25.4,29.1,865,34.6,2253,40040,22.5,22.1,29.3,9.6,5,7,0.4,4,1192,10.6,24.5,42.7,11.1,3.9,1.2,4.8,1.1,e9c4e690-c9ad-41f5-8150-6d158ab9119b,0.00569542721586913,0.487362256590852
908,210011230,Niddrie - Essendon West,2.8027,https://linked.data.gov.au/dataset/asgsed3/SA2/210011230,4204,41,316.6,63160,75313,78.9,528,44,14,10580,26606,5.5,3482,45,31.5,203,9047,13.9,92,64,2.8,25644,30751,1.3,4589,43,346,61999,75402,4.85,1.85,0.38,0.18,0.442,5.5,17.9,29.3,20.9,22.1,24.1,32.9,568,21.6,2132,37989,20.8,18.4,28.7,10.3,8,8,0.8,5,1311,12.1,20.1,37.2,15.5,7.6,1.8,3.7,1.9,16171d47-f309-4f2e-b8bb-200929287194,0.000286537381725793,0.106340714885245
965,211041269,Forest Hill,4.0702,https://linked.data.gov.au/dataset/asgsed3/SA2/211041269,5581,40,358.1,54316,64170,74.6,837,43,15.6,9128,18628,6.2,4981,45,27.6,237,5534,17,146,67,3.7,21401,25413,1.5,6522,44,386.6,48184,59277,6.01,1.97,0.33,0.12,0.466,5.5,18.1,29.6,29.8,23.5,23,23.7,1051,28.8,2470,27445,26.5,20,24.3,8.2,4.2,10.9,0.6,5.3,1020,18.3,25.5,34.3,10.4,3.4,2.6,3.8,1.7,113002be-1387-4959-992b-4231af1502a8,0.000416636495174316,0.112695884242287
762,206011498,Coburg - West,3.1876,https://linked.data.gov.au/dataset/asgsed3/SA2/206011498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048,32.7,1390,31173,23.6,19.4,27,10.6,6.7,7.3,0.6,4.7,1284,13.8,20.1,35.5,16.1,6.9,2,4.2,1.3,cb589de9-1aa9-4ed9-84ca-a3e9fc461628,0.000325792526382429,0.0741896724777812
1011,212031558,Cranbourne East - South,5.3272,https://linked.data.gov.au/dataset/asgsed3/SA2/212031558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,6.8,1069,20584,18.4,25.5,32.8,4.7,1.1,10.8,0.9,5.8,1038,11.1,32.3,42.8,5.8,0.7,0.9,4.5,1.6,244526d1-6509-456a-ade3-9ff690ab3d2f,0.000547340901903226,0.103774583841463
1111,214021382,Mount Martha,30.2094,https://linked.data.gov.au/dataset/asgsed3/SA2/214021382,9569,44,654.3,53456,68378,67.1,1753,49,51.3,14361,29274,8,8924,50,160.5,364,17989,22.2,279,61,8.5,23484,30500,1.4,11833,48,848.2,52230,71680,5.81,2.08,0.36,0.14,0.498,8.2,21.9,33.7,25.9,24.1,20.7,29.2,1833,152.6,5270,83262,23.5,22.3,25.1,9.5,7.3,6.8,0.4,5.2,1198,12.5,24.3,37.3,12,6.6,1.3,4.4,1.6,31f00dfe-1407-4295-8ed7-8d7ddb7c0f25,0.00311025826385958,0.257743591023296
1105,214011375,Seaford (Vic.),12.4321,https://linked.data.gov.au/dataset/asgsed3/SA2/214011375,9073,40,559.9,56200,61710,80.9,1341,43,26.8,10798,19961,7.2,6146,43,25.5,68,4156,9.9,242,59,5.9,18641,24273,1.5,9742,42,582.3,53665,59777,4.18,1.71,0.41,0.17,0.401,4.1,14.9,25.4,22.4,26.3,28.8,22.5,912,34.1,1856,37391,23.3,23.9,27.9,7.5,2.6,6.7,0.5,7.6,1011,17.3,27.3,35.1,9.6,2.5,1.7,3.8,2.5,f958fa72-8cc0-4693-b829-7e234ae437ca,0.00127696218714846,0.171561600456457
816,207011155,Surrey Hills (West) - Canterbury,5.7026,https://linked.data.gov.au/dataset/asgsed3/SA2/207011155,8644,43,872.9,63467,100985,62.2,1509,50,105.6,15222,69997,6.2,9445,50,296.7,,31409,28.9,261,69,11,31150,41954,1.4,11102,48,1257.3,64023,113248,8.5,2.47,0.29,0.12,0.61,15.7,33,45.4,25.5,18.5,16.9,39.1,2772,237.5,4650,85688,18.6,16.1,22.7,9.8,17.7,10.4,0.4,4,1691,9,15.6,29.1,20.5,17.3,2.5,5,1.1,3d6c20c0-1cda-4359-8b84-de832641a07d,0.000583563763484563,0.130579399125637
716,204021067,Wangaratta Surrounds,3587.526,https://linked.data.gov.au/dataset/asgsed3/SA2/204021067,5005,45,275.1,48575,54956,68.9,1994,56,21.2,3302,10636,13.5,4387,52,35.1,291,7993,15.9,125,59,3.2,18499,25436,0.9,6121,49,318.4,44091,52019,5.74,1.86,0.32,0.1,0.486,6.8,19.2,30.5,30.7,27.5,24.9,16.9,743,51,6069,68649,25.1,26.6,26.1,5.6,2.6,5.6,0.8,7.5,946,17.2,29.9,33.4,6.9,2.5,1.7,6.7,1.9,18470292-76a7-4673-8183-96f71c0ae870,0.361274930788568,4.61314657668238
1157,217031471,Camperdown,98.1179,https://linked.data.gov.au/dataset/asgsed3/SA2/217031471,1634,43,86.9,48246,53157,72.4,376,57,8.5,11651,22624,10.7,1303,52,13,263,9947,15.5,43,56,1,9987,22190,1,1940,49,105.8,47411,54546,5.13,1.74,0.34,0.14,0.442,6.5,18.1,28.7,28.1,26.5,28.1,17.3,214,16.7,4438,78050,32,26.1,22.7,3.6,1.6,4.4,0.7,8.7,782,23.8,33.4,27.9,4.5,1.7,1.4,3.7,3.6,c71c1469-633d-4b93-9a6b-8e7c20c026c0,0.0100953269775346,0.593745532307255
862,208041195,Malvern East,7.5666,https://linked.data.gov.au/dataset/asgsed3/SA2/208041195,12226,38,1074.4,58198,87881,68.9,2059,45,136.3,13233,66187,6.5,11553,45,284.8,867,24648,22.8,263,66,8.7,22616,33255,1,14215,43,1435.5,61126,100988,7.03,2.26,0.32,0.13,0.575,14,30.9,42.9,24.5,19.9,19.3,36.3,3061,198.2,3766,64751,18.2,17.7,24.8,10,14.7,9.4,0.5,4.7,1556,9.6,16.7,32.9,18.2,14.5,2.7,4.1,1.2,7f94d43a-f853-4445-989e-785f7f76b0b7,0.000774990036006784,0.150567455607939
842,208021177,Caulfield - North,6.4189,https://linked.data.gov.au/dataset/asgsed3/SA2/208021177,12418,35,938.8,52555,75603,64.3,2384,44,130.8,15000,54868,7.7,11750,42,404.2,,34403,26.4,203,66,8.1,18791,39841,0.6,14651,40,1435.4,61580,97972,5.85,2.1,0.36,0.17,0.562,14.9,30.9,42.3,22.2,21.6,20.8,35.4,2951,432.9,4430,146699,16.3,17.3,26.9,10.3,12.8,9.1,0.5,6.9,1487,10,17,32.7,17.2,13.1,3,4.7,2.2,35c01ce4-a181-45d6-befa-092204e1e799,0.000657330163448933,0.131347925748308
699,203031052,Point Lonsdale - Queenscliff,61.6733,https://linked.data.gov.au/dataset/asgsed3/SA2/203031052,2074,47,130.2,49427,62766,53.5,535,57,12.4,10238,23239,8.3,2581,60,53.8,,20849,34.1,145,65,5.6,30124,38562,3,3133,57,197.9,44696,63171,7.61,2.15,0.28,0.1,0.536,10,24.4,36.4,32.8,22.9,20.6,23.6,774,96.6,7175,124830,22.7,24.8,25.2,6.9,6.1,5.3,0.3,8.6,1046,14.1,28.7,31.9,9.4,7.4,1.7,4.6,2,e9dba5f6-02f7-4883-85c9-7e6bc140c4e3,0.00634604940478312,0.786860742097313
865,209011198,Heidelberg - Rosanna,6.3717,https://linked.data.gov.au/dataset/asgsed3/SA2/209011198,8493,40,672.2,66560,79147,74.9,1193,43,34.1,9386,28611,5.4,7670,44,80.5,405,10489,17.7,221,67,7.2,26784,32607,1.3,9732,43,751.1,61975,77182,5.8,1.91,0.33,0.13,0.47,7.4,19.8,31.1,23.7,19.8,22.4,34.1,1678,67.8,2496,40412,20.5,18.4,28.6,11.7,8.5,7.3,0.5,4.4,1369,11.6,19.2,38,17.1,7.6,1.8,3.6,1.3,2976745e-67e6-4e61-ad0b-25f521de2026,0.000651385780201963,0.136496745782944
1054,213021342,Altona Meadows,10.5419,https://linked.data.gov.au/dataset/asgsed3/SA2/213021342,10212,39,634.5,56995,62133,84.4,1206,41,21.9,12245,18119,6,6928,42,23.8,69,3436,8,215,58,5.6,16483,25885,1.1,10664,41,649.9,55057,60943,4.12,1.68,0.41,0.2,0.394,4,14.8,25.3,22.1,25.1,30,22.8,871,23.8,2126,27361,26.3,21.9,26.8,6.4,2,9.1,0.8,6.7,992,17.9,27.2,36.5,8.1,2.1,2.4,3.8,2,a62c5813-3fe3-4d8d-ae2c-70d897ec4041,0.00107961870980944,0.182247237576718
793,206051512,South Melbourne,1.8897,https://linked.data.gov.au/dataset/asgsed3/SA2/206051512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512,84.9,3185,56148,16.3,14.6,26.8,13.7,14.5,6.3,0.5,7.3,1626,13.2,13.8,29.3,19.3,17.5,2.1,3.2,1.4,bb21b29a-1b96-48bf-95ac-0da275b6b723,0.000193399389445403,0.0701521035585196
722,204031073,West Wodonga,153.88,https://linked.data.gov.au/dataset/asgsed3/SA2/204031073,8001,40,457.8,52955,57216,82.5,949,49,21.2,10728,22338,5.4,5348,47,32.3,85,6035,8.7,399,60,13.4,27935,33623,3,8651,43,509.4,52290,58886,3.66,1.65,0.45,0.2,0.397,5.4,16.4,26.4,21.1,29,30.7,19.2,806,24.2,2480,30059,25.9,26.4,28.2,4.9,1.9,6.2,0.6,6.1,956,17.5,30.7,36.7,6,1.7,1.4,4.3,1.8,c09a96f5-f4e1-4cb5-a28a-25a98c838bba,0.0154036523044851,0.809951604032082
1128,215021398,Mildura Surrounds,21568.7961,https://linked.data.gov.au/dataset/asgsed3/SA2/215021398,1655,40,77,40152,46531,62.7,724,57,10.5,12014,14500,19.3,1408,52,9.6,316,6815,15.9,39,57,0.8,11945,20038,1,2032,49,92.6,41420,45547,7.28,1.88,0.26,0.03,0.613,6.9,21,33.4,33.9,26.5,24.4,15.2,248,10.4,2965,42016,25.7,25.8,22.5,3.8,1.7,5,1.5,13.5,842,22.6,30.7,29,4.6,2.4,1.5,4.8,4.7,35288bd5-5caa-470f-91f0-9ee7ee7384ad,2.12675637619714,8.8213254929941
1887,407031167,Renmark,14.6561,https://linked.data.gov.au/dataset/asgsed3/SA2/407031167,2779,35,115.3,34856,41500,79.8,385,52,8,8300,20776,6.9,1597,49,9.8,112,6166,10.8,84,63,2.9,28490,34490,2.1,2622,42,126.4,42449,48193,4.48,1.66,0.37,0.15,0.458,7.2,19.3,30.1,30.4,32.5,25.4,11.6,215,11.3,4446,52602,33.8,30.7,18.5,2.2,1.9,6,0.6,6.5,707,27.4,35,24.1,2.5,1.7,1.7,4.4,2.7,13c6e1d2-6a80-43be-ac01-f1c29bc37538,0.00143295881571248,0.25367129753142
